epoch,train_loss,train_f1,val_loss,val_f1
1,3.5579894170528505,0.03538553789258003,3.327258308728536,0.0534353032708168
2,3.168666461618935,0.09238952398300171,2.9631625413894653,0.07377377152442932
3,2.8310614562616117,0.11337491124868393,2.672699491182963,0.08764436841011047
4,2.618920954262338,0.146926149725914,2.500324765841166,0.1368122398853302
5,2.4836100252663216,0.16175377368927002,2.3757559855779014,0.14788898825645447
6,2.3741208867328925,0.1683075726032257,2.281122326850891,0.16493329405784607
7,2.2756248509011616,0.19570183753967285,2.204232692718506,0.16258874535560608
8,2.1790672918645346,0.21264386177062988,2.1077516873677573,0.20115536451339722
9,2.1070810381959126,0.21863676607608795,2.022557020187378,0.23252131044864655
10,2.0445120974284845,0.2458646297454834,1.981363832950592,0.2410465031862259
11,1.9757227403361624,0.2500806748867035,1.9288583993911743,0.1859149932861328
12,1.9198147756297415,0.26580631732940674,1.8963355620702107,0.22335028648376465
13,1.8831805223371925,0.2630140781402588,1.8667102058728535,0.24492202699184418
14,1.8428244939664515,0.28924161195755005,1.8369924426078796,0.1961585283279419
15,1.806697098220267,0.2695760726928711,1.7953460812568665,0.2218911349773407
16,1.774471954601567,0.29850059747695923,1.778579552968343,0.2317533791065216
17,1.7565637100033644,0.3204340636730194,1.752596914768219,0.2749544680118561
18,1.7206742211085995,0.33151817321777344,1.761826515197754,0.25199824571609497
19,1.7123822090102405,0.31748002767562866,1.7375641067822774,0.2783719301223755
20,1.6808097653272676,0.3353678584098816,1.7039180000623066,0.25059449672698975
21,1.6552407857848377,0.3570115268230438,1.6769114931424458,0.29084885120391846
22,1.653105113564468,0.343137264251709,1.6874014139175415,0.28825175762176514
23,1.6160318066434163,0.34669584035873413,1.6683615446090698,0.27756404876708984
24,1.6075230371661302,0.3644688129425049,1.6244804461797078,0.2849575877189636
25,1.5662005122114973,0.39947056770324707,1.6237347722053528,0.3232402205467224
26,1.5549431341450388,0.3837308883666992,1.607344130674998,0.329811692237854
27,1.5311789687086896,0.39537668228149414,1.5923338135083516,0.2904297113418579
28,1.5094997766541272,0.3954981565475464,1.5769845843315125,0.32984328269958496
29,1.473868140360204,0.42778411507606506,1.5629720489184062,0.32474246621131897
30,1.4613862328413056,0.42385661602020264,1.5495199759801228,0.31422725319862366
31,1.4471287320299846,0.42997312545776367,1.524677813053131,0.36982083320617676
32,1.426575492068035,0.4395762085914612,1.506953517595927,0.3687420189380646
33,1.3916306873647177,0.4519996643066406,1.4968682130177815,0.36228668689727783
34,1.3810761469166453,0.46621960401535034,1.520602285861969,0.31765350699424744
35,1.3585604080339757,0.4755270481109619,1.4810112317403157,0.3213866353034973
36,1.3340871653905728,0.4920652210712433,1.4697925845781963,0.34100407361984253
37,1.3279820520703385,0.47533199191093445,1.438223620255788,0.3963857889175415
38,1.2988154044965419,0.5004298686981201,1.4414886037508647,0.37643927335739136
39,1.2983561318095138,0.5161616206169128,1.435409386952718,0.3705749213695526
40,1.2712834957169323,0.5141536593437195,1.4342317779858906,0.41634297370910645
41,1.2588777338586203,0.5081952810287476,1.4074896176656086,0.38248521089553833
42,1.2241572752231504,0.5402151942253113,1.4109719793001811,0.4062148928642273
43,1.227564077551772,0.5536646842956543,1.414751410484314,0.4048524796962738
44,1.2056049137580684,0.5444858074188232,1.3932340741157532,0.4128844439983368
45,1.186950584737266,0.5613796710968018,1.3915916482607524,0.3883235454559326
46,1.1967933672230417,0.5276243686676025,1.3852581977844238,0.4284766614437103
47,1.1727375082853364,0.5534417629241943,1.3671579559644063,0.4416966140270233
48,1.1582802054358692,0.5667949914932251,1.3673255840937297,0.45006006956100464
49,1.143147134199375,0.564483642578125,1.3339523474375408,0.45329058170318604
50,1.117745999882861,0.5813287496566772,1.3773422241210938,0.4132969379425049
