clear.logMAR,mono.logMAR,bino.logMAR,clear.logCS,mono.logCS,bino.logCS,clear.disparity,mono.disparity,bino.disparity,FVel,FAcc,MVel,MAcc,MDec,timeMVel,timeMAcc,timeMDec,pathLength,timeMAccToMVel,timeMVelToMDec,timeMDecToOffset,FGA,MGA,timeMGA,timeMVelToMGA,timeMGAToMDec,timeMGAToOffset,MGAVel,MGAAcc,FGOf,FGOt,FGOs,onset,offset,movTime,FAcc_index,FAcc_knuck,FAcc_thumb,FAcc_wrist,FVel_index,FVel_knuck,FVel_thumb,FVel_wrist,MAcc_index,MAcc_knuck,MAcc_thumb,MAcc_wrist,MDec_index,MDec_knuck,MDec_thumb,MDec_wrist,MVel_index,MVel_knuck,MVel_thumb,MVel_wrist,pathLength_index,pathLength_knuck,pathLength_thumb,pathLength_wrist,timeMAcc_index,timeMAcc_knuck,timeMAcc_thumb,timeMAcc_wrist,timeMAccToMVel_index,timeMAccToMVel_knuck,timeMAccToMVel_thumb,timeMAccToMVel_wrist,timeMDec_index,timeMDec_knuck,timeMDec_thumb,timeMDec_wrist,timeMDecToOffset_index,timeMDecToOffset_knuck,timeMDecToOffset_thumb,timeMDecToOffset_wrist,timeMVel_index,timeMVel_knuck,timeMVel_thumb,timeMVel_wrist,timeMVelToMDec_index,timeMVelToMDec_knuck,timeMVelToMDec_thumb,timeMVelToMDec_wrist,distance,subjName
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.0316285998091732,1.15967047707688,0.879641168785819,10.3033843067716,-3.55582012611256,2.591667,2.525,3.225,0.334193553142944,0.0666670000000003,0.633333,0.566667,0.0897204848057521,0.128098700852409,2.758333,0.166666,0.466667,1.033334,0.580677412827319,-3.09162911057048,-0.167543876032103,0.507952016508094,-0.294959310084205,0,3.791667,3.791667,1.31664117414745,1.51417700397891,1.04820085500071,0.824696293979452,0.035999457605954,0.0277740069795536,0.0278545823152417,0.0170262608691293,11.9702193108253,6.31682984396442,9.39660459407269,4.82868164886173,-4.45620215308572,-4.45343124713126,-3.55830579425094,-3.37264571468652,1.02899483969962,0.842424428887996,0.776129633231181,0.782233203241149,0.353492847764774,0.310619912207314,0.335971211470952,0.288114994377533,2.525,2.516667,2.508333,2.516667,0.0750000000000002,0.158333,0.0666670000000003,0.15,3.241667,2.758333,2.933333,2.766667,0.55,1.033334,0.858334,1.025,2.6,2.675,2.575,2.666667,0.641667,0.0833330000000001,0.358333,0.1,near,1
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.057131977874389,3.54014881983374,1.39869491212323,11.7050589027126,-6.3693789562946,2.933333,2.766667,3.05,0.536240387116544,0.166666,0.116667,1.0,0.087725212960632,0.115912472220105,3.125,0.191667,-0.0750000000000002,0.925,0.503710771857026,-3.7716425991157,-0.118096430061089,0.469651744588358,-0.229653007634895,0,4.05,4.05,3.39733839397464,2.97875545200092,3.6207010230565,2.19462552121583,0.0623476507999511,0.0542602548492934,0.0523960427469115,0.0401327050667851,12.7359531687813,7.64014619166195,10.8898127790034,7.47288842314533,-6.06074657193006,-5.80938503484856,-6.6980187770289,-6.0834001513863,1.41796903211977,1.36879871162778,1.39586383966978,1.38293191983992,0.545816981088674,0.513972663371922,0.542833235656373,0.504941004910592,2.766667,2.775,2.766667,2.825,0.158333,0.158333,0.175,0.108333,3.05,3.058333,3.041667,3.05,1.0,0.991667,1.008333,1.0,2.925,2.933333,2.941667,2.933333,0.125,0.125,0.1,0.116667,far,1
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.0419448289818643,2.64325929467879,1.16967366438199,10.3503456297283,-6.18720639233252,2.891667,2.725,3.0,0.451657839918597,0.166667,0.108333,0.883333,0.0925590786720203,0.117153599626791,2.983333,0.091666,0.016667,0.9,0.853342530942515,-6.00056615205683,-0.187491934408584,0.488815737696768,-0.342636076466489,0,3.883333,3.883333,2.6380679007717,2.57490907027407,2.42184601811556,1.80366447099107,0.0476074378716402,0.0393219458008895,0.0370567354970813,0.0243884588890495,11.9512575192841,6.76026570244661,8.93077541412444,6.04323895485861,-5.88678467134126,-6.33875020122592,-6.55010844578244,-6.29587246776989,1.20655268230645,1.22791519906621,1.14735625696632,1.17882934009906,0.465901698879825,0.440016071789287,0.447585653617178,0.423875589122326,2.725,2.725,2.725,2.791667,0.158333,0.166667,0.175,0.1,2.983333,3.0,3.008333,3.0,0.9,0.883333,0.875,0.883333,2.883333,2.891667,2.9,2.891667,0.1,0.108333,0.108333,0.108333,middle,1
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.0448077081228621,2.31785412494833,1.15058921550876,9.71866291581411,-6.77952977099234,2.95,2.791667,3.075,0.417461348185779,0.158333,0.125,0.883333,0.0907805470811339,0.114277320733998,3.05,0.0999999999999996,0.0250000000000004,0.908333,0.818628235104405,-6.29668605517598,-0.114077432586751,0.464896744950493,-0.224582402510338,0,3.958333,3.958333,2.33251102317852,2.32873586900996,2.17578940104831,1.5882334970055,0.050069220856576,0.0402016501910638,0.0410292282919178,0.025360527601711,10.764804522733,6.11526993393966,9.05180930638305,5.55777007274255,-6.39851223500911,-6.64131730848826,-7.23348959761418,-6.67963349160545,1.1828053650683,1.16601633013676,1.14507796276518,1.16132372747607,0.436957101992803,0.413070400383167,0.412276747958517,0.403250665265819,2.791667,2.791667,2.791667,2.866667,0.133333,0.166666,0.175,0.091666,3.066667,3.075,3.075,3.075,0.891666,0.883333,0.883333,0.883333,2.925,2.958333,2.966667,2.958333,0.141667,0.116667,0.108333,0.116667,middle,1
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.0320611794428781,1.46767115824416,0.798115182987091,8.26108468139986,-4.13690759157908,3.133333,3.041667,3.325,0.333636564597927,0.091666,0.191667,0.891667,0.0914644771193313,0.118661542707239,3.3,0.166667,0.0250000000000004,0.916667,0.588529458119318,-3.59060911434662,-0.160161242972042,0.550330459889086,-0.257448325553783,0,4.216667,4.216667,1.61919558203158,1.60525532990517,1.36556758584077,0.787323138684421,0.0368932781795497,0.0300313002865784,0.0275410344982728,0.0187186884939041,9.4799298124999,5.09288162991708,7.31347494279435,4.23532244429914,-4.43238303822456,-5.25615487633439,-3.57844787107139,-3.97316456474769,0.881067721518292,0.822591642984408,0.737212001431662,0.760205163862263,0.351585250507676,0.314115574513797,0.32850633069448,0.291142686646083,3.041667,3.041667,3.033333,3.033333,0.0833330000000001,0.183333,0.125,0.175,3.316667,3.325,3.325,3.325,0.9,0.891667,0.891667,0.891667,3.125,3.225,3.158333,3.208333,0.191667,0.1,0.166667,0.116667,near,1
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.0503226026423912,3.39837191115919,1.45943860214279,10.2995322958543,-8.0028257632739,3.008333,2.833333,3.116667,0.526654989072964,0.175,0.108334,1.125,0.0847309573866444,0.118733079262668,3.166667,0.158334,-0.0499999999999998,1.075,0.565923009575923,-5.76984351248016,-0.14870478744764,0.467638522461648,-0.288385726887343,0,4.241667,4.241667,3.38316410950176,2.63491888303772,3.37805663226629,1.84861804660162,0.0551551542161067,0.0488264421065789,0.0458244982667889,0.034902999340176,11.9455921830004,7.19527507091866,9.37157620483226,6.7446679101761,-7.89332488759774,-8.22647871402012,-8.1625548097507,-7.96645975863217,1.42779385271143,1.45126691868661,1.49490364937157,1.47161246962282,0.529554854954719,0.517572520692906,0.539605203785105,0.528105717123552,2.833333,2.833333,2.833333,2.825,0.175,0.183334,0.175,0.191667,3.108333,3.116667,3.116667,3.125,1.133334,1.125,1.125,1.116667,3.008333,3.016667,3.008333,3.016667,0.1,0.1,0.108334,0.108333,far,1
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.0556571490699715,2.81279036172833,1.46607960146255,11.8701964558809,-7.58761416204761,2.983333,2.825,3.075,0.540100152192782,0.158333,0.0916670000000002,0.916667,0.0935587184395238,0.119261059493601,3.166667,0.183334,-0.0916669999999997,0.825,0.471385405029013,-3.94166262557209,-0.186605985666764,0.499880532573591,-0.33283801634943,0,3.991667,3.991667,2.79766748404967,2.63880778057145,2.78695132283191,1.81727074445139,0.0629911893212378,0.0506500743251117,0.0499696693227537,0.0354639202421087,12.4181441181026,7.31973236122145,11.210122129503,7.92478889374001,-7.47532707401832,-7.50482965163471,-7.73027106726317,-7.44128458630388,1.52964107424307,1.47560105559731,1.42650271168872,1.47420576149307,0.546442619672997,0.530563721942541,0.547006623705874,0.532797555680188,2.825,2.816667,2.816667,2.9,0.15,0.166666,0.175,0.0833330000000001,3.075,3.083333,3.083333,3.083333,0.916667,0.908334,0.908334,0.908334,2.975,2.983333,2.991667,2.983333,0.1,0.1,0.091666,0.1,far,1
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.0371618058341064,2.8166221456397,1.18581037933754,9.84776377737735,-6.67969737819957,2.958333,2.8,3.066667,0.417146456504331,0.158333,0.108334,0.891666,0.0892254277935649,0.119397464607571,3.066667,0.108334,0.0,0.891666,0.766308142413496,-6.67969737819957,-0.115177518422068,0.506969892675447,-0.205367547211491,0,3.958333,3.958333,2.92566098328413,2.46537044556222,2.49495389955076,1.35619791666936,0.0445229827591879,0.0381390494090589,0.0302102141234404,0.0258262004282683,10.7640848675307,6.06035229649903,9.15319905186615,5.90891100345921,-6.69309045476857,-7.0783916767614,-6.66709731246248,-6.79375087399485,1.22844020398303,1.21479762964901,1.16639914445445,1.20186486954238,0.435122436838661,0.407069024086753,0.413644740249237,0.402356180164998,2.808333,2.8,2.8,2.891667,0.133334,0.166667,0.166667,0.0750000000000002,3.066667,3.066667,3.066667,3.066667,0.891666,0.891666,0.891666,0.891666,2.941667,2.966667,2.966667,2.966667,0.125,0.0999999999999996,0.0999999999999996,0.0999999999999996,middle,1
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.0555799991714671,2.68327800814809,1.45111365080323,10.035281041196,-7.09336849217855,3.191667,3.008333,3.3,0.545681485459591,0.183334,0.108333,1.466667,0.0840220884888802,0.121567664219339,3.375,0.183333,-0.0750000000000002,1.391667,0.478294756432215,-4.19195570579761,-0.158224151181617,0.517109937289292,-0.273519456074642,0,4.766667,4.766667,2.91305564667769,2.38479281021104,2.46375021177427,1.81250355325461,0.0588219090925844,0.0521531734352626,0.05264730924356,0.0369173328044923,11.000324185309,7.2845137857767,9.34756810395832,6.57449441381153,-6.77541298665494,-6.99496891319737,-7.3741415927724,-6.87338691595567,1.45806963295739,1.41965371569697,1.46172811752906,1.43490630653325,0.559026853533545,0.521455966190029,0.550493010203487,0.527917713172213,3.0,3.0,3.0,3.1,0.183333,0.191667,0.191667,0.0916669999999997,3.3,3.308333,3.291667,3.3,1.466667,1.458334,1.475,1.466667,3.183333,3.191667,3.191667,3.191667,0.116667,0.116666,0.1,0.108333,far,1
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.031611426770623,1.43080393018127,0.852991124615255,9.63931254797393,-4.95959740010241,3.083333,3.008333,3.266667,0.347806700573168,0.0750000000000002,0.183334,0.791666,0.0908785577403327,0.113387362687915,3.25,0.166667,0.016667,0.808333,0.627661531209506,-4.79219223279546,-0.118286826214382,0.56448303005391,-0.185522321104143,0,4.058333,4.058333,1.43168823143909,1.31420617602675,1.31120324908543,0.97136705698766,0.0412681427874239,0.0350866075705242,0.0234559671739505,0.0182246072010781,10.1540658733696,6.40015399335066,9.25303847220391,4.36440747544018,-5.21811478221592,-5.73488906763438,-4.7201894828948,-4.91778228921556,0.981980211744489,0.91075594401507,0.774612225196837,0.841524552065476,0.370688308474095,0.339462842097061,0.336542097462656,0.312865961544876,3.008333,3.0,3.0,3.0,0.1,0.175,0.0666669999999998,0.166667,3.258333,3.258333,3.266667,3.266667,0.8,0.8,0.791666,0.791666,3.108333,3.175,3.066667,3.166667,0.15,0.0833330000000001,0.2,0.1,near,1
